,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,set
1905,-0.031,-0.9125000000000001,0.3565,-31.585199999999997,-1.5366,-4.2926,57
1906,-0.0009999999999999985,-0.7469999999999999,0.15833333333333333,-45.6098,-2.2805999999999997,-6.4024,57
1907,0.03,-0.8494999999999999,0.0365,-28.183,-1.8168,-3.5976,57
1908,0.03833333333333333,-1.093,-0.06366666666666666,-10.3292,-1.0974,-1.1463999999999999,57
1909,0.0555,-1.314,-0.0615,-10.5242,-18.244,-16.7684,57
1910,0.11766666666666666,-1.213,-0.06999999999999999,-8.817,8.7194,5.878,57
1911,0.072,-1.022,-0.1265,-3.9878,0.8538000000000002,7.0244,57
1912,0.06833333333333334,-1.0356666666666667,-0.09699999999999999,5.6706,-4.3902,-1.0366,57
1913,0.07450000000000001,-1.0804999999999998,-0.11950000000000001,8.512,6.244,9.2926,57
1914,0.036,-1.2226666666666668,-0.083,12.2564,-7.4026,3.7805999999999997,57
1915,0.024,-1.267,-0.0615,9.366,-5.5854,-0.6952,57
1916,0.024000000000000004,-1.139,-0.004999999999999998,20.0,-2.5,1.8778,57
1917,0.02,-0.788,0.011000000000000001,63.3292,-6.1218,4.2804,57
1918,0.025666666666666667,-0.6053333333333334,0.2353333333333333,35.89,0.24379999999999988,8.7806,57
1919,-0.016,-1.059,0.40449999999999997,-2.9879999999999995,0.9757999999999999,-0.4635999999999999,57
1920,-0.007999999999999998,-0.899,0.35733333333333334,-22.049,1.7194000000000003,-4.183,57
1921,0.009000000000000001,-0.8035,0.1855,-40.3416,-3.4268,-2.0368,57
1922,0.010666666666666666,-0.8656666666666667,0.09566666666666666,-35.1464,-1.7928000000000002,-2.9878,57
1923,0.017,-0.9825,-0.019,-13.4024,-14.3656,-0.04880000000000001,57
1924,0.014666666666666666,-1.1773333333333333,-0.03866666666666667,-6.987799999999998,1.61,-2.1464,57
1925,0.0395,-1.2135,-0.07,-6.6342,-2.3781999999999996,-4.6098,57
1926,0.07966666666666666,-1.1533333333333333,-0.05833333333333333,-4.9146,4.8536,5.5488,57
1927,0.018000000000000002,-1.0205,-0.0895,0.7928,1.8294000000000001,-2.8292,57
