,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,label
2678,-0.006666666666666668,0.8203333333333335,-0.013666666666666667,1.6949999999999998,0.13440000000000016,-3.061,bench
7084,0.248,-0.8633333333333333,0.38633333333333336,-24.7074,25.4756,-7.1708,rest
4122,0.251,0.646,0.8654999999999999,-7.6828,-1.3416,-0.9145999999999999,squat
5728,0.091,-1.1035,-0.0485,10.8294,7.3292,-1.0366000000000002,dead
773,-0.22666666666666668,1.1139999999999999,-0.30866666666666664,-31.3902,-21.561,26.3658,ohp
2952,-0.369,0.8813333333333334,0.104,-2.8411999999999997,-16.061,6.7074,ohp
2888,-0.3385,0.846,-0.293,-2.4392,-11.768,-6.122,ohp
5045,-0.0135,-0.911,0.39349999999999996,-45.0608,4.3294,4.317,dead
5209,0.030333333333333334,-1.069,-0.05633333333333334,11.7806,-1.634,-0.7682,dead
641,-0.2813333333333333,0.8946666666666667,0.018666666666666668,-13.988,2.2194,31.1098,ohp
2820,-0.365,0.8365,-0.013000000000000001,-35.0608,17.7806,36.5246,ohp
196,-0.24533333333333332,1.2293333333333332,0.004333333333333332,-37.122,-15.0,12.1952,bench
3698,0.035,-0.11649999999999999,0.1785,0.46320000000000017,2.4631999999999996,-8.8414,row
1155,-0.277,0.8055000000000001,-0.1805,-32.4878,10.195,-2.0364000000000004,ohp
1144,-0.25966666666666666,0.8770000000000001,-0.078,6.5001999999999995,19.4632,-25.049,ohp
7179,-0.056499999999999995,-1.1255,-0.136,2.8902,-1.2317999999999998,-1.1705999999999999,row
1108,-0.248,0.6735,-0.20350000000000001,29.9024,3.0852,-23.183,ohp
8269,-0.012,-1.2545000000000002,-0.1255,-8.5488,0.7318000000000002,7.683,row
2273,-0.013,-0.9805,-0.031,59.927,-10.7196,-0.7682,dead
1420,0.10366666666666667,0.657,0.626,26.939,6.817,3.0974000000000004,squat
8754,1.464,-0.9019999999999999,0.083,-128.53640000000001,-75.0488,-338.1708,rest
2516,-0.21450000000000002,1.097,-0.0955,-18.1222,-13.402600000000001,10.2682,bench
7930,0.6693333333333333,-0.957,0.4406666666666667,-48.6584,85.9266,178.573,rest
7303,0.0085,-0.33699999999999997,0.1995,-15.6096,3.2804,-4.0612,row
8507,0.8383333333333334,-0.19533333333333333,0.08566666666666667,110.5124,13.89,65.13419999999999,rest
4119,0.22666666666666666,0.5956666666666667,0.8033333333333333,-6.671000000000001,2.2562,-2.6218,squat
1758,0.14733333333333334,0.759,0.9969999999999999,3.1098,-0.5851999999999998,-2.756,squat
957,-0.314,0.7995,-0.2395,13.731799999999998,-6.5001999999999995,-1.6098,ohp
6291,0.0545,0.579,0.4085,25.8658,-3.122,1.0364,squat
